Fold 666: balanced counts 0→10, 1→10
Fold 667: balanced counts 0→9, 1→9
Fold 668: balanced counts 0→15, 1→15
Fold 669: balanced counts 0→14, 1→14
Fold 670: balanced counts 0→13, 1→13
Fold 671: balanced counts 0→14, 1→14
Fold 672: balanced counts 0→13, 1→13
Fold 673: balanced counts 0→13, 1→13
Fold 674: balanced counts 0→9, 1→9
Fold 675: balanced counts 0→15, 1→15
Fold 676: balanced counts 0→13, 1→13
Fold 677: balanced counts 0→14, 1→14
Fold 678: balanced counts 0→15, 1→15
Fold 679: balanced counts 0→14, 1→14
Fold 680: balanced counts 0→14, 1→14
Fold 681: balanced counts 0→10, 1→10
Fold 682: balanced counts 0→11, 1→11
Fold 683: balanced counts 0→12, 1→12
Fold 684: balanced counts 0→12, 1→12
Fold 685: balanced counts 0→15, 1→15
Fold 686: balanced counts 0→14, 1→14
Fold 687: balanced counts 0→12, 1→12
Fold 688: balanced counts 0→11, 1→11
Fold 689: balanced counts 0→13, 1→13
Fold 690: balanced counts 0→14, 1→14
Fold 691: balanced counts 0→12, 1→12
Fold 692: balanced counts 0→10, 1→10
Fold 693: balanced counts 0→13, 1→13
Fold 694: balanced counts 0→11, 1→11
Fold 695: balanced counts 0→13, 1→13
Fold 696: balanced counts 0→13, 1→13
Fold 697: balanced counts 0→13, 1→13
Fold 698: balanced counts 0→15, 1→15
Fold 699: balanced counts 0→13, 1→13
Fold 700: balanced counts 0→15, 1→15
Fold 701: balanced counts 0→11, 1→11
Fold 702: balanced counts 0→13, 1→13
Fold 703: balanced counts 0→8, 1→8
Fold 704: balanced counts 0→13, 1→13
Fold 705: balanced counts 0→14, 1→14
Fold 706: balanced counts 0→11, 1→11
Fold 707: balanced counts 0→14, 1→14
Fold 708: balanced counts 0→14, 1→14
Fold 709: balanced counts 0→15, 1→15
Fold 710: balanced counts 0→14, 1→14
Fold 711: balanced counts 0→14, 1→14
Fold 712: balanced counts 0→14, 1→14
Fold 713: balanced counts 0→15, 1→15
Fold 714: balanced counts 0→15, 1→15
Fold 715: balanced counts 0→13, 1→13
Fold 716: balanced counts 0→13, 1→13
Fold 717: balanced counts 0→12, 1→12
Fold 718: balanced counts 0→10, 1→10
Fold 719: balanced counts 0→14, 1→14
Fold 720: balanced counts 0→14, 1→14
Fold 721: balanced counts 0→12, 1→12
Fold 722: balanced counts 0→12, 1→12
Fold 723: balanced counts 0→15, 1→15
Fold 724: balanced counts 0→14, 1→14
Fold 725: balanced counts 0→14, 1→14
Fold 726: balanced counts 0→14, 1→14
Fold 727: balanced counts 0→15, 1→15
Fold 728: balanced counts 0→13, 1→13
Fold 729: balanced counts 0→14, 1→14
Fold 730: balanced counts 0→9, 1→9
Fold 731: balanced counts 0→9, 1→9
Fold 732: balanced counts 0→14, 1→14
Fold 733: balanced counts 0→15, 1→15
Fold 734: balanced counts 0→14, 1→14
Fold 735: balanced counts 0→12, 1→12
Fold 736: balanced counts 0→10, 1→10
Fold 737: balanced counts 0→15, 1→15
Fold 738: balanced counts 0→12, 1→12
Fold 739: balanced counts 0→13, 1→13
Fold 740: balanced counts 0→15, 1→15
Fold 741: balanced counts 0→13, 1→13
Fold 742: balanced counts 0→13, 1→13
Fold 743: balanced counts 0→9, 1→9
Fold 744: balanced counts 0→9, 1→9
Fold 745: balanced counts 0→12, 1→12
Fold 746: balanced counts 0→14, 1→14
Fold 747: balanced counts 0→13, 1→13
Fold 748: balanced counts 0→13, 1→13
Fold 749: balanced counts 0→12, 1→12
Fold 750: balanced counts 0→12, 1→12
Fold 751: balanced counts 0→13, 1→13
Fold 752: balanced counts 0→12, 1→12
Fold 753: balanced counts 0→15, 1→15
Fold 754: balanced counts 0→14, 1→14
Fold 755: balanced counts 0→14, 1→14
Fold 756: balanced counts 0→12, 1→12
Fold 757: balanced counts 0→10, 1→10
Fold 758: balanced counts 0→13, 1→13
Fold 759: balanced counts 0→13, 1→13
Fold 760: balanced counts 0→14, 1→14
Fold 761: balanced counts 0→12, 1→12
Fold 762: balanced counts 0→10, 1→10
Fold 763: balanced counts 0→6, 1→6
Fold 764: balanced counts 0→13, 1→13
Fold 765: balanced counts 0→11, 1→11
Fold 766: balanced counts 0→10, 1→10
Fold 767: balanced counts 0→14, 1→14
Fold 768: balanced counts 0→15, 1→15
Fold 769: balanced counts 0→14, 1→14
Fold 770: balanced counts 0→12, 1→12
Fold 771: balanced counts 0→11, 1→11
Fold 772: balanced counts 0→15, 1→15
Fold 773: balanced counts 0→14, 1→14
Fold 774: balanced counts 0→8, 1→8
Fold 775: balanced counts 0→13, 1→13
Fold 776: balanced counts 0→14, 1→14
Fold 777: balanced counts 0→14, 1→14
Fold 778: balanced counts 0→13, 1→13
Fold 779: balanced counts 0→13, 1→13
Fold 780: balanced counts 0→12, 1→12
Fold 781: balanced counts 0→10, 1→10
Fold 782: balanced counts 0→11, 1→11
Fold 783: balanced counts 0→14, 1→14
Fold 784: balanced counts 0→14, 1→14
Fold 785: balanced counts 0→14, 1→14
Fold 786: balanced counts 0→14, 1→14
Fold 787: balanced counts 0→14, 1→14
Fold 788: balanced counts 0→14, 1→14
Fold 789: balanced counts 0→12, 1→12
Fold 790: balanced counts 0→13, 1→13
Fold 791: balanced counts 0→14, 1→14
Fold 792: balanced counts 0→14, 1→14
Fold 793: balanced counts 0→13, 1→13
Fold 794: balanced counts 0→10, 1→10
Fold 795: balanced counts 0→13, 1→13
Fold 796: balanced counts 0→12, 1→12
Fold 797: balanced counts 0→13, 1→13
Fold 798: balanced counts 0→8, 1→8
Fold 799: balanced counts 0→10, 1→10
Fold 800: balanced counts 0→14, 1→14
Fold 801: balanced counts 0→12, 1→12
Fold 802: balanced counts 0→12, 1→12
Fold 803: balanced counts 0→11, 1→11
Fold 804: balanced counts 0→14, 1→14
Fold 805: balanced counts 0→14, 1→14
Fold 806: balanced counts 0→13, 1→13
Fold 807: balanced counts 0→14, 1→14
Fold 808: balanced counts 0→15, 1→15
Fold 809: balanced counts 0→9, 1→9
Fold 810: balanced counts 0→14, 1→14
Fold 811: balanced counts 0→13, 1→13
Fold 812: balanced counts 0→12, 1→12
Fold 813: balanced counts 0→14, 1→14
Fold 814: balanced counts 0→11, 1→11
Fold 815: balanced counts 0→14, 1→14
Fold 816: balanced counts 0→13, 1→13
Fold 817: balanced counts 0→13, 1→13
Fold 818: balanced counts 0→14, 1→14
Fold 819: balanced counts 0→9, 1→9
Fold 820: balanced counts 0→15, 1→15
Fold 821: balanced counts 0→12, 1→12
Fold 822: balanced counts 0→15, 1→15
Fold 823: balanced counts 0→11, 1→11
Fold 824: balanced counts 0→14, 1→14
Fold 825: balanced counts 0→14, 1→14
Fold 826: balanced counts 0→14, 1→14
Fold 827: balanced counts 0→14, 1→14
Fold 828: balanced counts 0→11, 1→11
Fold 829: balanced counts 0→12, 1→12
Fold 830: balanced counts 0→14, 1→14
Fold 831: balanced counts 0→14, 1→14
Fold 832: balanced counts 0→13, 1→13
Fold 833: balanced counts 0→13, 1→13
Fold 834: balanced counts 0→12, 1→12
Fold 835: balanced counts 0→14, 1→14
Fold 836: balanced counts 0→14, 1→14
Fold 837: balanced counts 0→13, 1→13
Fold 838: balanced counts 0→14, 1→14
Fold 839: balanced counts 0→13, 1→13
Fold 840: balanced counts 0→12, 1→12
Fold 841: balanced counts 0→13, 1→13
Fold 842: balanced counts 0→13, 1→13
Fold 843: balanced counts 0→15, 1→15
Fold 844: balanced counts 0→13, 1→13
Fold 845: balanced counts 0→14, 1→14
Fold 846: balanced counts 0→14, 1→14
Fold 847: balanced counts 0→14, 1→14
Fold 848: balanced counts 0→15, 1→15
Fold 849: balanced counts 0→12, 1→12
Fold 850: balanced counts 0→11, 1→11
Fold 851: balanced counts 0→12, 1→12
Fold 852: balanced counts 0→14, 1→14
Fold 853: balanced counts 0→12, 1→12
Fold 854: balanced counts 0→15, 1→15
Fold 855: balanced counts 0→13, 1→13
Fold 856: balanced counts 0→10, 1→10
Fold 857: balanced counts 0→8, 1→8
Fold 858: balanced counts 0→10, 1→10
Fold 859: balanced counts 0→11, 1→11
Fold 860: balanced counts 0→14, 1→14
Fold 861: balanced counts 0→12, 1→12
Fold 862: balanced counts 0→14, 1→14
Fold 863: balanced counts 0→14, 1→14
Fold 864: balanced counts 0→9, 1→9
Fold 865: balanced counts 0→13, 1→13
Fold 866: balanced counts 0→14, 1→14
Fold 867: balanced counts 0→13, 1→13
Fold 868: balanced counts 0→10, 1→10
Fold 869: balanced counts 0→13, 1→13
Fold 870: balanced counts 0→12, 1→12
Fold 871: balanced counts 0→14, 1→14
Fold 872: balanced counts 0→13, 1→13
Fold 873: balanced counts 0→11, 1→11
Fold 874: balanced counts 0→13, 1→13
Fold 875: balanced counts 0→14, 1→14
Fold 876: balanced counts 0→14, 1→14
Fold 877: balanced counts 0→12, 1→12
Fold 878: balanced counts 0→13, 1→13
Fold 879: balanced counts 0→9, 1→9
Fold 880: balanced counts 0→9, 1→9
Fold 881: balanced counts 0→9, 1→9
Fold 882: balanced counts 0→13, 1→13
Fold 883: balanced counts 0→14, 1→14
Fold 884: balanced counts 0→14, 1→14
Fold 885: balanced counts 0→15, 1→15
Fold 886: balanced counts 0→15, 1→15
Fold 887: balanced counts 0→13, 1→13
Fold 888: balanced counts 0→12, 1→12
Fold 889: balanced counts 0→14, 1→14
Fold 890: balanced counts 0→14, 1→14
Fold 891: balanced counts 0→15, 1→15
Fold 892: balanced counts 0→11, 1→11
Fold 893: balanced counts 0→13, 1→13
Fold 894: balanced counts 0→14, 1→14
Fold 895: balanced counts 0→15, 1→15
Fold 896: balanced counts 0→14, 1→14
Fold 897: balanced counts 0→13, 1→13
Fold 898: balanced counts 0→14, 1→14
Fold 899: balanced counts 0→13, 1→13
Fold 900: balanced counts 0→13, 1→13
Fold 901: balanced counts 0→14, 1→14
Fold 902: balanced counts 0→9, 1→9
Fold 903: balanced counts 0→15, 1→15
Fold 904: balanced counts 0→12, 1→12
Fold 905: balanced counts 0→14, 1→14
Fold 906: balanced counts 0→9, 1→9
Fold 907: balanced counts 0→9, 1→9
Fold 908: balanced counts 0→12, 1→12
Fold 909: balanced counts 0→9, 1→9
Fold 910: balanced counts 0→12, 1→12
Fold 911: balanced counts 0→11, 1→11
Fold 912: balanced counts 0→13, 1→13
Fold 913: balanced counts 0→15, 1→15
Fold 914: balanced counts 0→10, 1→10
Fold 915: balanced counts 0→11, 1→11
Fold 916: balanced counts 0→11, 1→11
Fold 917: balanced counts 0→13, 1→13
Fold 918: balanced counts 0→11, 1→11
Fold 919: balanced counts 0→13, 1→13
Fold 920: balanced counts 0→13, 1→13
Fold 921: balanced counts 0→14, 1→14
Fold 922: balanced counts 0→11, 1→11
Fold 923: balanced counts 0→13, 1→13
Fold 924: balanced counts 0→13, 1→13
Fold 925: balanced counts 0→12, 1→12
Fold 926: balanced counts 0→13, 1→13
Fold 927: balanced counts 0→12, 1→12
Fold 928: balanced counts 0→14, 1→14
Fold 929: balanced counts 0→13, 1→13
Fold 930: balanced counts 0→10, 1→10
Fold 931: balanced counts 0→15, 1→15
Fold 932: balanced counts 0→14, 1→14
Fold 933: balanced counts 0→13, 1→13
Fold 934: balanced counts 0→14, 1→14
Fold 935: balanced counts 0→11, 1→11
Fold 936: balanced counts 0→12, 1→12
Fold 937: balanced counts 0→14, 1→14
Fold 938: balanced counts 0→15, 1→15
Fold 939: balanced counts 0→12, 1→12
Fold 940: balanced counts 0→11, 1→11
Fold 941: balanced counts 0→11, 1→11
Fold 942: balanced counts 0→13, 1→13
Fold 943: balanced counts 0→15, 1→15
Fold 944: balanced counts 0→10, 1→10
Fold 945: balanced counts 0→13, 1→13
Fold 946: balanced counts 0→11, 1→11
Fold 947: balanced counts 0→10, 1→10
Fold 948: balanced counts 0→13, 1→13
Fold 949: balanced counts 0→13, 1→13
Fold 950: balanced counts 0→10, 1→10
Fold 951: balanced counts 0→8, 1→8
Fold 952: balanced counts 0→14, 1→14
Fold 953: balanced counts 0→13, 1→13
Fold 954: balanced counts 0→12, 1→12
Fold 955: balanced counts 0→14, 1→14
Fold 956: balanced counts 0→14, 1→14
Fold 957: balanced counts 0→14, 1→14
Fold 958: balanced counts 0→11, 1→11
Fold 959: balanced counts 0→13, 1→13
Fold 960: balanced counts 0→13, 1→13
Fold 961: balanced counts 0→13, 1→13
Fold 962: balanced counts 0→14, 1→14
Fold 963: balanced counts 0→15, 1→15
Fold 964: balanced counts 0→13, 1→13
Fold 965: balanced counts 0→15, 1→15
Fold 966: balanced counts 0→14, 1→14
Fold 967: balanced counts 0→14, 1→14
Fold 968: balanced counts 0→12, 1→12
Fold 969: balanced counts 0→14, 1→14
Fold 970: balanced counts 0→12, 1→12
Fold 971: balanced counts 0→12, 1→12
Fold 972: balanced counts 0→12, 1→12
Fold 973: balanced counts 0→12, 1→12
Fold 974: balanced counts 0→14, 1→14
Fold 975: balanced counts 0→14, 1→14
Fold 976: balanced counts 0→13, 1→13
Fold 977: balanced counts 0→9, 1→9
Fold 978: balanced counts 0→14, 1→14
Fold 979: balanced counts 0→12, 1→12
Fold 980: balanced counts 0→8, 1→8
Fold 981: balanced counts 0→15, 1→15
Fold 982: balanced counts 0→14, 1→14
Fold 983: balanced counts 0→15, 1→15
Fold 984: balanced counts 0→15, 1→15
Fold 985: balanced counts 0→15, 1→15
Fold 986: balanced counts 0→14, 1→14
Fold 987: balanced counts 0→13, 1→13
Fold 988: balanced counts 0→10, 1→10
Fold 989: balanced counts 0→14, 1→14
Fold 990: balanced counts 0→13, 1→13
Fold 991: balanced counts 0→14, 1→14
Fold 992: balanced counts 0→13, 1→13
Fold 993: balanced counts 0→15, 1→15
Fold 994: balanced counts 0→14, 1→14
Fold 995: balanced counts 0→14, 1→14
Fold 996: balanced counts 0→13, 1→13
Fold 997: balanced counts 0→15, 1→15
Fold 998: balanced counts 0→11, 1→11
Fold 999: balanced counts 0→13, 1→13
Fold 1000: balanced counts 0→7, 1→7
Fold 1001: balanced counts 0→10, 1→10
Fold 1002: balanced counts 0→13, 1→13
Fold 1003: balanced counts 0→15, 1→15
Fold 1004: balanced counts 0→13, 1→13
Fold 1005: balanced counts 0→14, 1→14
Fold 1006: balanced counts 0→14, 1→14
Fold 1007: balanced counts 0→12, 1→12
Fold 1008: balanced counts 0→13, 1→13
Fold 1009: balanced counts 0→14, 1→14
Fold 1010: balanced counts 0→13, 1→13
Fold 1011: balanced counts 0→12, 1→12
Fold 1012: balanced counts 0→9, 1→9
Fold 1013: balanced counts 0→13, 1→13
Fold 1014: balanced counts 0→12, 1→12
Fold 1015: balanced counts 0→13, 1→13
Fold 1016: balanced counts 0→14, 1→14
Fold 1017: balanced counts 0→13, 1→13
Fold 1018: balanced counts 0→12, 1→12
Fold 1019: balanced counts 0→13, 1→13
Fold 1020: balanced counts 0→12, 1→12
Fold 1021: balanced counts 0→8, 1→8
Fold 1022: balanced counts 0→12, 1→12
Fold 1023: balanced counts 0→13, 1→13
Fold 1024: balanced counts 0→12, 1→12
Fold 1025: balanced counts 0→13, 1→13
Fold 1026: balanced counts 0→14, 1→14
Fold 1027: balanced counts 0→10, 1→10
Fold 1028: balanced counts 0→13, 1→13
Fold 1029: balanced counts 0→13, 1→13
Fold 1030: balanced counts 0→14, 1→14
Fold 1031: balanced counts 0→12, 1→12
Fold 1032: balanced counts 0→7, 1→7
Fold 1033: balanced counts 0→12, 1→12
Fold 1034: balanced counts 0→15, 1→15
Fold 1035: balanced counts 0→12, 1→12
Fold 1036: balanced counts 0→15, 1→15
Fold 1037: balanced counts 0→14, 1→14
Fold 1038: balanced counts 0→12, 1→12
Fold 1039: balanced counts 0→10, 1→10
Fold 1040: balanced counts 0→14, 1→14
Fold 1041: balanced counts 0→13, 1→13
Fold 1042: balanced counts 0→15, 1→15
Fold 1043: balanced counts 0→13, 1→13
Fold 1044: balanced counts 0→13, 1→13
Fold 1045: balanced counts 0→12, 1→12
Fold 1046: balanced counts 0→12, 1→12
Fold 1047: balanced counts 0→12, 1→12
Fold 1048: balanced counts 0→14, 1→14
Fold 1049: balanced counts 0→14, 1→14
Fold 1050: balanced counts 0→13, 1→13
Fold 1051: balanced counts 0→14, 1→14
Fold 1052: balanced counts 0→12, 1→12
Fold 1053: balanced counts 0→9, 1→9
Fold 1054: balanced counts 0→12, 1→12
Fold 1055: balanced counts 0→13, 1→13
Fold 1056: balanced counts 0→11, 1→11
Fold 1057: balanced counts 0→14, 1→14
Fold 1058: balanced counts 0→15, 1→15
Fold 1059: balanced counts 0→11, 1→11
Fold 1060: balanced counts 0→15, 1→15
Fold 1061: balanced counts 0→11, 1→11
Fold 1062: balanced counts 0→12, 1→12
Fold 1063: balanced counts 0→14, 1→14
Fold 1064: balanced counts 0→13, 1→13
Fold 1065: balanced counts 0→13, 1→13
Fold 1066: balanced counts 0→10, 1→10
Fold 1067: balanced counts 0→12, 1→12
Fold 1068: balanced counts 0→14, 1→14
Fold 1069: balanced counts 0→14, 1→14
Fold 1070: balanced counts 0→12, 1→12
Fold 1071: balanced counts 0→15, 1→15
Fold 1072: balanced counts 0→9, 1→9
Fold 1073: balanced counts 0→11, 1→11
Fold 1074: balanced counts 0→14, 1→14
Fold 1075: balanced counts 0→12, 1→12
Fold 1076: balanced counts 0→15, 1→15
Fold 1077: balanced counts 0→10, 1→10
Fold 1078: balanced counts 0→11, 1→11
Fold 1079: balanced counts 0→12, 1→12
Fold 1080: balanced counts 0→11, 1→11
Fold 1081: balanced counts 0→13, 1→13
Fold 1082: balanced counts 0→13, 1→13
Fold 1083: balanced counts 0→13, 1→13
Fold 1084: balanced counts 0→14, 1→14
Fold 1085: balanced counts 0→10, 1→10
Fold 1086: balanced counts 0→9, 1→9
Fold 1087: balanced counts 0→14, 1→14
Fold 1088: balanced counts 0→14, 1→14
Fold 1089: balanced counts 0→13, 1→13
Fold 1090: balanced counts 0→12, 1→12
Fold 1091: balanced counts 0→13, 1→13
Fold 1092: balanced counts 0→12, 1→12
Fold 1093: balanced counts 0→14, 1→14
Fold 1094: balanced counts 0→11, 1→11
Fold 1095: balanced counts 0→12, 1→12
Fold 1096: balanced counts 0→14, 1→14
Fold 1097: balanced counts 0→14, 1→14
Fold 1098: balanced counts 0→13, 1→13
Fold 1099: balanced counts 0→14, 1→14
Fold 1100: balanced counts 0→14, 1→14
Fold 1101: balanced counts 0→14, 1→14
Fold 1102: balanced counts 0→14, 1→14
Fold 1103: balanced counts 0→12, 1→12
Fold 1104: balanced counts 0→11, 1→11
Fold 1105: balanced counts 0→13, 1→13
Fold 1106: balanced counts 0→11, 1→11
Fold 1107: balanced counts 0→11, 1→11
Fold 1108: balanced counts 0→12, 1→12
Fold 1109: balanced counts 0→13, 1→13
Fold 1110: balanced counts 0→12, 1→12
Fold 1111: balanced counts 0→13, 1→13
Fold 1112: balanced counts 0→9, 1→9
Fold 1113: balanced counts 0→12, 1→12
Fold 1114: balanced counts 0→15, 1→15
Fold 1115: balanced counts 0→15, 1→15
Fold 1116: balanced counts 0→11, 1→11
Fold 1117: balanced counts 0→15, 1→15
Fold 1118: balanced counts 0→14, 1→14
Fold 1119: balanced counts 0→13, 1→13
Fold 1120: balanced counts 0→11, 1→11
Fold 1121: balanced counts 0→15, 1→15
Fold 1122: balanced counts 0→11, 1→11
Fold 1123: balanced counts 0→13, 1→13
Fold 1124: balanced counts 0→14, 1→14
Fold 1125: balanced counts 0→14, 1→14
Fold 1126: balanced counts 0→12, 1→12
Fold 1127: balanced counts 0→15, 1→15
Fold 1128: balanced counts 0→9, 1→9
Fold 1129: balanced counts 0→11, 1→11
Fold 1130: balanced counts 0→13, 1→13
Fold 1131: balanced counts 0→11, 1→11
Fold 1132: balanced counts 0→12, 1→12
Fold 1133: balanced counts 0→12, 1→12
Fold 1134: balanced counts 0→13, 1→13
Fold 1135: balanced counts 0→12, 1→12
Fold 1136: balanced counts 0→14, 1→14
Fold 1137: balanced counts 0→11, 1→11
Fold 1138: balanced counts 0→14, 1→14
Fold 1139: balanced counts 0→13, 1→13
Fold 1140: balanced counts 0→13, 1→13
Fold 1141: balanced counts 0→13, 1→13
Fold 1142: balanced counts 0→12, 1→12
Fold 1143: balanced counts 0→12, 1→12
Fold 1144: balanced counts 0→11, 1→11
Fold 1145: balanced counts 0→12, 1→12
Fold 1146: balanced counts 0→10, 1→10
Fold 1147: balanced counts 0→13, 1→13
Fold 1148: balanced counts 0→13, 1→13
Fold 1149: balanced counts 0→12, 1→12
Fold 1150: balanced counts 0→11, 1→11
Fold 1151: balanced counts 0→14, 1→14
Fold 1152: balanced counts 0→13, 1→13
Fold 1153: balanced counts 0→11, 1→11
Fold 1154: balanced counts 0→15, 1→15
Fold 1155: balanced counts 0→13, 1→13
Fold 1156: balanced counts 0→14, 1→14
Fold 1157: balanced counts 0→13, 1→13
Fold 1158: balanced counts 0→14, 1→14
Fold 1159: balanced counts 0→12, 1→12
Fold 1160: balanced counts 0→11, 1→11
Fold 1161: balanced counts 0→11, 1→11
Fold 1162: balanced counts 0→12, 1→12
Fold 1163: balanced counts 0→11, 1→11
Fold 1164: balanced counts 0→10, 1→10
Fold 1165: balanced counts 0→15, 1→15
Fold 1166: balanced counts 0→13, 1→13
Fold 1167: balanced counts 0→13, 1→13
Fold 1168: balanced counts 0→11, 1→11
Fold 1169: balanced counts 0→13, 1→13
Fold 1170: balanced counts 0→13, 1→13
Fold 1171: balanced counts 0→12, 1→12
Fold 1172: balanced counts 0→14, 1→14
Fold 1173: balanced counts 0→10, 1→10
Fold 1174: balanced counts 0→12, 1→12
Fold 1175: balanced counts 0→11, 1→11
Fold 1176: balanced counts 0→12, 1→12
Fold 1177: balanced counts 0→13, 1→13
Fold 1178: balanced counts 0→14, 1→14
Fold 1179: balanced counts 0→14, 1→14
Fold 1180: balanced counts 0→14, 1→14
Fold 1181: balanced counts 0→12, 1→12
Fold 1182: balanced counts 0→11, 1→11
Fold 1183: balanced counts 0→11, 1→11
Fold 1184: balanced counts 0→13, 1→13
Fold 1185: balanced counts 0→12, 1→12
Fold 1186: balanced counts 0→13, 1→13
Fold 1187: balanced counts 0→12, 1→12
Fold 1188: balanced counts 0→12, 1→12
Fold 1189: balanced counts 0→15, 1→15
Fold 1190: balanced counts 0→14, 1→14
Fold 1191: balanced counts 0→15, 1→15
Fold 1192: balanced counts 0→10, 1→10
Fold 1193: balanced counts 0→14, 1→14
Fold 1194: balanced counts 0→10, 1→10
Fold 1195: balanced counts 0→9, 1→9
Fold 1196: balanced counts 0→12, 1→12
Fold 1197: balanced counts 0→12, 1→12
Fold 1198: balanced counts 0→10, 1→10
Fold 1199: balanced counts 0→14, 1→14
Fold 1200: balanced counts 0→14, 1→14
Fold 1201: balanced counts 0→9, 1→9
Fold 1202: balanced counts 0→11, 1→11
Fold 1203: balanced counts 0→11, 1→11
Fold 1204: balanced counts 0→11, 1→11
Fold 1205: balanced counts 0→12, 1→12
Fold 1206: balanced counts 0→10, 1→10
Fold 1207: balanced counts 0→11, 1→11
Fold 1208: balanced counts 0→12, 1→12
Fold 1209: balanced counts 0→14, 1→14
Fold 1210: balanced counts 0→14, 1→14
Fold 1211: balanced counts 0→12, 1→12
Fold 1212: balanced counts 0→15, 1→15
Fold 1213: balanced counts 0→12, 1→12
Fold 1214: balanced counts 0→12, 1→12
Fold 1215: balanced counts 0→15, 1→15
Fold 1216: balanced counts 0→11, 1→11
Fold 1217: balanced counts 0→11, 1→11
Fold 1218: balanced counts 0→12, 1→12
Fold 1219: balanced counts 0→11, 1→11
Fold 1220: balanced counts 0→13, 1→13
Fold 1221: balanced counts 0→11, 1→11
Fold 1222: balanced counts 0→12, 1→12
Fold 1223: balanced counts 0→14, 1→14
Fold 1224: balanced counts 0→15, 1→15
Fold 1225: balanced counts 0→13, 1→13
Fold 1226: balanced counts 0→14, 1→14
Fold 1227: balanced counts 0→14, 1→14
Fold 1228: balanced counts 0→14, 1→14
Fold 1229: balanced counts 0→13, 1→13
Fold 1230: balanced counts 0→11, 1→11
Fold 1231: balanced counts 0→11, 1→11
Fold 1232: balanced counts 0→11, 1→11
Fold 1233: balanced counts 0→13, 1→13
Fold 1234: balanced counts 0→11, 1→11
Fold 1235: balanced counts 0→13, 1→13
Fold 1236: balanced counts 0→14, 1→14
Fold 1237: balanced counts 0→15, 1→15
Fold 1238: balanced counts 0→11, 1→11
Fold 1239: balanced counts 0→14, 1→14
Fold 1240: balanced counts 0→13, 1→13
Fold 1241: balanced counts 0→15, 1→15
Fold 1242: balanced counts 0→14, 1→14
Fold 1243: balanced counts 0→15, 1→15
Fold 1244: balanced counts 0→14, 1→14
Fold 1245: balanced counts 0→15, 1→15
Fold 1246: balanced counts 0→12, 1→12
Fold 1247: balanced counts 0→14, 1→14
Fold 1248: balanced counts 0→14, 1→14
Fold 1249: balanced counts 0→12, 1→12
Fold 1250: balanced counts 0→14, 1→14
Fold 1251: balanced counts 0→12, 1→12
Fold 1252: balanced counts 0→12, 1→12
Fold 1253: balanced counts 0→9, 1→9
Fold 1254: balanced counts 0→14, 1→14
Fold 1255: balanced counts 0→14, 1→14
Fold 1256: balanced counts 0→12, 1→12
Fold 1257: balanced counts 0→11, 1→11
Fold 1258: balanced counts 0→10, 1→10
Fold 1259: balanced counts 0→12, 1→12
Fold 1260: balanced counts 0→5, 1→5
Fold 1261: balanced counts 0→8, 1→8
Fold 1262: balanced counts 0→4, 1→4
Fold 1263: balanced counts 0→6, 1→6
Fold 1264: balanced counts 0→8, 1→8
Fold 1265: balanced counts 0→12, 1→12
Fold 1266: balanced counts 0→13, 1→13
Fold 1267: balanced counts 0→10, 1→10
Fold 1268: balanced counts 0→14, 1→14
Fold 1269: balanced counts 0→10, 1→10
Fold 1270: balanced counts 0→15, 1→15
Fold 1271: balanced counts 0→13, 1→13
Fold 1272: balanced counts 0→5, 1→5
Fold 1273: balanced counts 0→13, 1→13
Fold 1274: balanced counts 0→13, 1→13
Fold 1275: balanced counts 0→14, 1→14
Fold 1276: balanced counts 0→12, 1→12
Fold 1277: balanced counts 0→8, 1→8
Fold 1278: balanced counts 0→13, 1→13
Fold 1279: balanced counts 0→9, 1→9
Fold 1280: balanced counts 0→14, 1→14
Fold 1281: balanced counts 0→15, 1→15
Fold 1282: balanced counts 0→10, 1→10
Fold 1283: balanced counts 0→13, 1→13
Fold 1284: balanced counts 0→13, 1→13
Fold 1285: balanced counts 0→14, 1→14
Fold 1286: balanced counts 0→10, 1→10
Fold 1287: balanced counts 0→13, 1→13
Fold 1288: balanced counts 0→11, 1→11
Fold 1289: balanced counts 0→7, 1→7
Fold 1290: balanced counts 0→13, 1→13
Fold 1291: balanced counts 0→11, 1→11
Fold 1292: balanced counts 0→12, 1→12
Fold 1293: balanced counts 0→13, 1→13
Fold 1294: balanced counts 0→11, 1→11
Fold 1295: balanced counts 0→11, 1→11
Fold 1296: balanced counts 0→9, 1→9
Fold 1297: balanced counts 0→12, 1→12
Fold 1298: balanced counts 0→13, 1→13
Fold 1299: balanced counts 0→15, 1→15
Fold 1300: balanced counts 0→8, 1→8
Fold 1301: balanced counts 0→14, 1→14
Fold 1302: balanced counts 0→13, 1→13
Fold 1303: balanced counts 0→14, 1→14
Fold 1304: balanced counts 0→11, 1→11
Fold 1305: balanced counts 0→11, 1→11
Fold 1306: balanced counts 0→8, 1→8
Fold 1307: balanced counts 0→12, 1→12
Fold 1308: balanced counts 0→12, 1→12
Fold 1309: balanced counts 0→12, 1→12
Fold 1310: balanced counts 0→13, 1→13
Fold 1311: balanced counts 0→14, 1→14
Fold 1312: balanced counts 0→7, 1→7
Fold 1313: balanced counts 0→7, 1→7
Fold 1314: balanced counts 0→15, 1→15
Fold 1315: balanced counts 0→7, 1→7
Fold 1316: balanced counts 0→12, 1→12
