Fold 133: balanced counts 0→14, 1→14
Fold 134: balanced counts 0→9, 1→9
Fold 135: balanced counts 0→15, 1→15
Fold 136: balanced counts 0→14, 1→14
Fold 137: balanced counts 0→15, 1→15
Fold 138: balanced counts 0→11, 1→11
Fold 139: balanced counts 0→14, 1→14
Fold 140: balanced counts 0→13, 1→13
Fold 141: balanced counts 0→13, 1→13
Fold 142: balanced counts 0→8, 1→8
Fold 143: balanced counts 0→8, 1→8
Fold 144: balanced counts 0→13, 1→13
Fold 145: balanced counts 0→13, 1→13
Fold 146: balanced counts 0→12, 1→12
Fold 147: balanced counts 0→14, 1→14
Fold 148: balanced counts 0→8, 1→8
Fold 149: balanced counts 0→13, 1→13
Fold 150: balanced counts 0→13, 1→13
Fold 151: balanced counts 0→14, 1→14
Fold 152: balanced counts 0→13, 1→13
Fold 153: balanced counts 0→14, 1→14
Fold 154: balanced counts 0→12, 1→12
Fold 155: balanced counts 0→13, 1→13
Fold 156: balanced counts 0→13, 1→13
Fold 157: balanced counts 0→15, 1→15
Fold 158: balanced counts 0→14, 1→14
Fold 159: balanced counts 0→13, 1→13
Fold 160: balanced counts 0→15, 1→15
Fold 161: balanced counts 0→14, 1→14
Fold 162: balanced counts 0→14, 1→14
Fold 163: balanced counts 0→14, 1→14
Fold 164: balanced counts 0→14, 1→14
Fold 165: balanced counts 0→15, 1→15
Fold 166: balanced counts 0→14, 1→14
Fold 167: balanced counts 0→12, 1→12
Fold 168: balanced counts 0→11, 1→11
Fold 169: balanced counts 0→14, 1→14
Fold 170: balanced counts 0→12, 1→12
Fold 171: balanced counts 0→11, 1→11
Fold 172: balanced counts 0→15, 1→15
Fold 173: balanced counts 0→13, 1→13
Fold 174: balanced counts 0→13, 1→13
Fold 175: balanced counts 0→13, 1→13
Fold 176: balanced counts 0→14, 1→14
Fold 177: balanced counts 0→13, 1→13
Fold 178: balanced counts 0→14, 1→14
Fold 179: balanced counts 0→14, 1→14
Fold 180: balanced counts 0→13, 1→13
Fold 181: balanced counts 0→13, 1→13
