model,total_return,equity_mult,sharpe,trades,win_rate
rf_fold1088,24.12666630504883,1.2412666630504883,4.100652179294796,43,47.31006065095607
rf_fold1123,22.77718294558877,1.2277718294558877,3.8586282572587014,53,47.33698821882655
rf_fold1024,21.76614959048282,1.2176614959048282,3.7118893656256655,29,47.09000833410501
rf_fold1372,21.2505117378206,1.212505117378206,3.6320586626152944,27,47.14814814814815
rf_fold1038,21.062567205439684,1.2106256720543969,3.6261011390845606,9,47.16191287072513
rf_fold1018,20.921186525474834,1.2092118652547483,3.5646330281858862,35,47.0145625448568
rf_fold855,20.888382224751687,1.208883822247517,3.5852395301969047,17,47.15840666975451
rf_fold848,20.287117574004387,1.2028711757400439,3.4237351660945587,65,47.33101851851852
rf_fold1296,20.222890906221114,1.2022289090622111,3.386892194347608,91,47.4737403482737
rf_fold1033,19.230544446018506,1.192305444460185,3.26240466173858,53,47.00694444444444
rf_fold1036,19.174573177116237,1.1917457317711624,3.2813031294400226,25,47.004629629629626
rf_fold729,18.74227761658396,1.1874227761658396,3.2114319173085417,21,47.11765260873667
rf_fold832,18.21412632188082,1.1821412632188082,3.1091572117204347,27,47.06481481481482
rf_fold852,18.122838798534513,1.1812283879853451,3.059492011865281,69,47.257100495760554
rf_fold544,18.037322133968516,1.1803732213396851,3.0412219061076446,69,47.004629629629626
rf_fold1305,17.897225924605564,1.1789722592460556,3.0587345277107456,23,46.973309567351095
rf_fold1421,17.869093136277314,1.1786909313627731,3.0266324098804493,56,47.11090181304451
rf_fold644,17.753822927560204,1.177538229275602,3.024854676944229,29,46.914351851851855
rf_fold557,17.643051566735313,1.1764305156673531,2.991204379325474,53,47.039351851851855
rf_fold1384,17.5245847404635,1.175245847404635,2.948164537299273,76,47.05324074074074
rf_fold1151,17.263938232465705,1.172639382324657,2.909106196147903,71,47.215019909250856
rf_fold1397,16.96244759794361,1.169624475979436,2.8722921985393532,58,46.90119968502478
rf_fold1297,16.70080731427055,1.1670080731427055,2.8061498894189056,88,47.11111111111111
rf_fold1065,16.4459337042447,1.164459337042447,2.8055251055391013,30,46.826388888888886
rf_fold1363,16.408913891746323,1.1640891389174632,2.8310485990680596,13,46.738712776176754
rf_fold1140,16.290755962876634,1.1629075596287664,2.7915208148733264,23,47.19740430734506
rf_fold674,16.265245615139555,1.1626524561513956,2.816361579508454,47,47.64523978505525
rf_fold706,15.993715256674701,1.159937152566747,2.7417488303337203,17,46.999675640609794
rf_fold1348,15.853991163275793,1.158539911632758,2.685645746650223,53,47.12037037037037
rf_fold803,15.817318177996098,1.158173181779961,2.6947138725694204,35,47.12718181397287
rf_fold912,15.812921950683778,1.1581292195068378,2.65010387890447,92,47.107170143310256
rf_fold992,15.60986331555403,1.1560986331555403,2.6517746832399642,45,47.0162037037037
rf_fold1005,15.543952030182705,1.155439520301827,2.654681585574923,32,46.8287037037037
rf_fold901,15.393890841478463,1.1539389084147846,2.622548669976548,33,46.800925925925924
rf_fold771,15.365248726714832,1.1536524872671483,2.607057494859886,52,46.90509259259259
rf_fold1186,15.246192839593542,1.1524619283959354,2.612336124290259,19,46.921011204741184
rf_fold610,15.050536854876384,1.1505053685487638,2.5534965214373173,49,47.094907407407405
rf_fold953,15.040812322966657,1.1504081232296666,2.55612408726838,43,46.816834892119644
rf_fold736,15.03928227434046,1.1503928227434046,2.568584991259108,22,46.761574074074076
rf_fold1013,14.983806238480103,1.149838062384801,2.5067471422950613,98,47.06944444444445
rf_fold1027,14.896052165590334,1.1489605216559033,2.534867124020952,37,47.16640429669414
rf_fold1112,14.662854724955787,1.1466285472495579,2.490607095028758,45,47.13888888888889
rf_fold1105,14.662147263961067,1.1466214726396107,2.507856009764941,23,47.00694444444444
rf_fold1245,14.615438308291107,1.146154383082911,2.5019392353830856,20,46.6875
rf_fold1429,14.527158941170715,1.1452715894117071,2.456207585825365,60,46.87485499512783
rf_fold801,14.474449090544116,1.1447444909054412,2.464826478114628,37,47.167710508002784
rf_fold1050,14.462356838813562,1.1446235683881356,2.458048792952379,42,46.80324074074074
rf_fold978,14.417465684584885,1.1441746568458488,2.41135516906737,93,47.07870370370371
rf_fold626,14.365383366712535,1.1436538336671254,2.441870060339204,46,46.932870370370374
rf_fold1017,14.190201719932617,1.1419020171993262,2.404432390060862,55,47.0852433208316
rf_fold896,14.050997790844688,1.1405099779084469,2.3657200874185507,74,46.93012918460897
rf_fold1385,13.96749791965295,1.1396749791965295,2.3539695079747056,70,46.91898148148148
rf_fold1366,13.871319486161271,1.1387131948616127,2.3321783896739463,77,47.273148148148145
rf_fold723,13.837503827254327,1.1383750382725433,2.338471461926804,75,47.289351851851855
rf_fold754,13.814474690888368,1.1381447469088837,2.3500378681113667,38,46.97222222222222
rf_fold1365,13.793443558664764,1.1379344355866476,2.314691537039488,79,47.33101851851852
rf_fold1283,13.786173257158897,1.137861732571589,2.348180019086677,33,46.931357796041205
rf_fold1136,13.752417364539005,1.13752417364539,2.341606512927133,39,46.99711574246371
rf_fold1057,13.714626136380637,1.1371462613638064,2.3227431140834773,50,46.995370370370374
rf_fold859,13.713911952240142,1.1371391195224014,2.355264064774497,15,46.91203703703704
rf_fold1193,13.613837029227781,1.1361383702922778,2.3220859901251445,33,46.80474749825459
rf_fold1180,13.494490528112802,1.134944905281128,2.2841271423436957,79,47.437788687093416
rf_fold1338,13.462400623797045,1.1346240062379704,2.2697454658631058,67,47.30543080698181
rf_fold1175,13.42119287614758,1.1342119287614758,2.282890427861275,37,47.053368572355915
rf_fold1164,13.400345429691818,1.1340034542969182,2.270967327780145,54,47.054698457223
rf_fold1060,13.372939371960978,1.1337293937196098,2.2581934906506094,70,46.87962962962963
rf_fold1100,13.323541646377922,1.1332354164637792,2.272520591509431,35,47.16286607246209
rf_fold1083,13.270267967359107,1.132702679673591,2.259325547155319,37,47.174760887733306
rf_fold1279,13.203726682918028,1.1320372668291803,2.230300141758037,64,46.93055555555555
rf_fold1106,13.072955128025153,1.1307295512802515,2.2365004837703784,27,47.09717839242621
rf_fold954,13.068490526459398,1.130684905264594,2.177574298991494,112,47.173611111111114
rf_fold724,12.966435954066636,1.1296643595406664,2.19408090063713,67,47.20575979257339
rf_fold899,12.88136126020385,1.1288136126020385,2.1649970138112478,86,47.01810436634718
rf_fold526,12.83918839766387,1.1283918839766387,2.206827711365159,8,46.476851851851855
rf_fold872,12.761067904747868,1.1276106790474787,2.1848225451986294,19,46.94212962962963
rf_fold1155,12.560578888880825,1.1256057888888082,2.1187477869822695,71,47.14351851851852
rf_fold957,12.547594170687226,1.1254759417068723,2.1217593023149797,61,46.72222222222222
rf_fold1197,12.512312924527969,1.1251231292452797,2.106836136429835,71,46.99481385441749
rf_fold1157,12.497003872741086,1.1249700387274109,2.1019966677620294,75,47.270833333333336
rf_fold1293,12.44493672178779,1.124449367217878,2.1326870410473107,14,46.61774238355403
rf_fold993,12.407181485368724,1.1240718148536872,2.08888740322697,79,47.10185185185185
rf_fold851,12.339467005990091,1.123394670059901,2.076852980562458,73,47.270833333333336
rf_fold831,12.311739836749581,1.1231173983674958,2.0605463020246297,97,47.15251412167794
rf_fold554,12.276544995274396,1.122765449952744,2.0590975943020604,84,47.09953703703704
rf_fold1094,12.248610937385983,1.1224861093738598,2.084438704538845,39,47.15740740740741
rf_fold898,12.194035992873275,1.1219403599287328,2.046693449265636,84,46.95229272811487
rf_fold700,12.191825857673578,1.1219182585767358,2.1511760260058708,9,47.27895503693668
rf_fold880,12.186830270079962,1.1218683027007996,2.0829226080770233,29,47.274482563752386
rf_fold1095,12.148688966549837,1.1214868896654984,2.1070283236230276,25,47.282715322738866
rf_fold1087,12.148184021870922,1.1214818402187092,2.050234290699638,63,47.182870370370374
rf_fold1331,12.10740741141354,1.1210740741141354,2.0340742377490963,77,47.19444444444444
rf_fold708,12.045519293318051,1.1204551929331805,2.057844930115588,27,47.09406690756499
rf_fold671,12.02998850954906,1.1202998850954906,2.0256638290262874,69,47.040029634431505
rf_fold1104,12.020626839079629,1.1202062683907963,2.0544388169951464,25,46.99074074074074
rf_fold1249,11.981391148474806,1.119813911484748,2.0304769940431555,52,46.94573283858998
rf_fold597,11.967318604724575,1.1196731860472457,2.0012405954510575,99,47.14583333333333
rf_fold645,11.951814394754944,1.1195181439475494,2.012884175742422,72,46.87145535776291
rf_fold1252,11.908578683553994,1.11908578683554,2.032567146042596,36,46.96248468281647
rf_fold657,11.858358922480017,1.1185835892248002,1.9928450372417974,83,47.273148148148145
rf_fold1392,11.854658990493917,1.1185465899049392,1.992399656438419,76,47.03472222222223
rf_fold650,11.841092106531903,1.118410921065319,1.9972030337183435,69,47.142063087683546
rf_fold1020,11.800861804337238,1.1180086180433724,2.012067189644621,31,46.71527777777777
rf_fold977,11.79190258428935,1.1179190258428935,1.9790985084419523,89,46.976851851851855
rf_fold815,11.680787004170924,1.1168078700417092,2.014521927679978,11,47.22959561900662
rf_fold1261,11.654796734000406,1.116547967340004,1.9708730264465049,58,46.94675925925926
rf_fold1330,11.626229020990086,1.1162622902099009,1.9541204336830278,71,47.226851851851855
rf_fold1327,11.563712355822942,1.1156371235582294,1.9519531519699809,65,47.050925925925924
rf_fold636,11.45922042791705,1.1145922042791705,1.9575961173145242,25,46.96296296296296
rf_fold1344,11.345841407468459,1.1134584140746846,1.9316637191138124,39,47.14285714285714
rf_fold1075,11.323212091439295,1.113232120914393,1.8971670094179776,87,47.09953703703704
rf_fold1374,11.28864423417637,1.1128864423417637,1.8852441716697428,109,47.173611111111114
rf_fold1085,11.286536064841224,1.1128653606484122,1.905018611614624,71,47.131757699823204
rf_fold583,11.269664078669539,1.1126966407866954,1.9193689755319479,34,46.81846609992819
rf_fold713,11.076048273056571,1.1107604827305657,1.895978739344728,19,46.94444444444444
rf_fold303,10.998987597862286,1.1099898759786229,1.8806301905313079,22,46.92247128566135
rf_fold865,10.99818993463153,1.1099818993463153,1.8573239925301037,69,47.24526203605023
rf_fold809,10.980801921970574,1.1098080192197057,1.8558956954707084,55,47.13657407407407
rf_fold818,10.979910637001744,1.1097991063700174,1.8438673577379747,81,47.235855171775164
rf_fold1354,10.971578271843319,1.1097157827184332,1.842510823745726,73,47.24305555555556
rf_fold894,10.955690176266009,1.10955690176266,1.8282140561266846,111,47.11805555555556
rf_fold1303,10.917848209496462,1.1091784820949646,1.8216376244193597,99,47.041666666666664
rf_fold743,10.88712206995921,1.108871220699592,1.8677300293800005,14,46.63194444444444
rf_fold1044,10.875572403573063,1.1087557240357306,1.8355109766648223,66,46.86111111111111
rf_fold1388,10.79254386109949,1.107925438610995,1.8039311195983685,95,47.00694444444444
rf_fold932,10.754726594371288,1.1075472659437129,1.8087107969292835,81,46.9453525306624
rf_fold549,10.746772724945043,1.1074677272494504,1.8019338517455064,89,47.26008083466491
rf_fold1335,10.650591508650574,1.1065059150865058,1.809723954719373,43,47.150199092508565
rf_fold1240,10.624688200061684,1.1062468820006168,1.8122566466628713,36,46.66898148148148
rf_fold655,10.612816528021241,1.1061281652802124,1.813974267075394,23,46.98644421272159
rf_fold793,10.58705110960576,1.1058705110960576,1.784835055585244,73,47.263888888888886
rf_fold541,10.581372237160803,1.105813722371608,1.7654061036092703,107,47.103898509121215
rf_fold791,10.563058533091297,1.105630585330913,1.7732384828058518,73,47.16203703703704
rf_fold903,10.533971939281317,1.1053397193928132,1.7819925001457295,60,46.89351851851852
rf_fold1169,10.490445925196124,1.1049044592519612,1.7542451430935082,97,47.25462962962963
rf_fold1418,10.454395461323474,1.1045439546132347,1.7619899440337166,63,47.15509259259259
rf_fold1074,10.424421250651172,1.1042442125065117,1.7427157928980765,93,46.96643269163945
rf_fold958,10.322831639115805,1.103228316391158,1.7666483569904476,20,46.693372852313246
rf_fold1098,10.259925097891486,1.1025992509789149,1.7503881931091463,29,47.020833333333336
rf_fold759,10.20538926179757,1.1020538926179757,1.7842703786905472,28,47.05464688728287
rf_fold566,10.189248924632398,1.101892489246324,1.7229234533979656,60,46.85899664001853
rf_fold616,10.189094755781824,1.1018909475578182,1.719121321822678,64,46.84678427559383
rf_fold1373,10.111201083445964,1.1011120108344596,1.70999033181276,73,47.07462202773726
rf_fold755,10.086734986995305,1.100867349869953,1.707736457685136,56,46.90249097138624
rf_fold927,10.078936686777972,1.1007893668677797,1.7254375059390612,19,46.632016149615986
rf_fold1188,10.061853740185844,1.1006185374018584,1.689434916119492,81,47.263888888888886
rf_fold1102,9.963401954308981,1.0996340195430898,1.6977622859234112,31,46.97453703703704
rf_fold681,9.931214165131209,1.099312141651312,1.7056791391234807,13,46.88888888888889
rf_fold1356,9.930737961765356,1.0993073796176536,1.6893387229457453,33,47.0
rf_fold961,9.918730674066412,1.0991873067406641,1.6589599018182637,98,46.99740716733031
rf_fold844,9.895597589998362,1.0989559758999836,1.6586754952575458,97,47.18523493041243
rf_fold652,9.851211781390345,1.0985121178139035,1.6518993294055728,87,47.13194444444444
rf_fold684,9.83013250118201,1.09830132501182,1.6869422206219389,11,46.85604482103996
rf_fold1107,9.751797889762837,1.0975179788976284,1.6733497390946421,13,46.88505614075703
rf_fold691,9.749883148826743,1.0974988314882674,1.6726982106228436,13,46.926362707772306
rf_fold534,9.749212242341866,1.0974921224234186,1.6704019390155802,14,46.574074074074076
rf_fold1129,9.659346441540784,1.0965934644154078,1.6208029440310172,83,47.12268518518519
rf_fold875,9.649245561932961,1.0964924556193296,1.6537271514406091,13,46.87037037037037
rf_fold1414,9.644590183151113,1.0964459018315111,1.6173593892963682,97,47.10511653821153
rf_fold924,9.629890109544315,1.0962989010954431,1.6154424697886383,83,46.91898148148148
rf_fold692,9.612718607977033,1.0961271860797703,1.6466185330812186,19,46.895545883878135
rf_fold1416,9.599808154838385,1.0959980815483839,1.6184125541348156,65,46.999722196499675
rf_fold625,9.53246931385916,1.0953246931385916,1.6133070842555126,58,46.88657407407407
rf_fold1341,9.517633070141285,1.0951763307014128,1.6236996604559522,37,47.041666666666664
rf_fold744,9.493450593649122,1.0949345059364912,1.6259776664162564,16,46.67779091056571
rf_fold1063,9.405429288597134,1.0940542928859713,1.6169746345340774,36,46.95935198100972
rf_fold642,9.32975639350766,1.0932975639350766,1.5994358402013784,13,46.796134504414724
rf_fold688,9.257517422353523,1.0925751742235352,1.5903372035560768,11,46.83796296296296
rf_fold654,9.200734399979682,1.0920073439997968,1.5308227797214256,115,47.33796296296296
rf_fold871,9.156764120043515,1.0915676412004351,1.558389302114713,39,47.0
rf_fold705,9.122709238028426,1.0912270923802843,1.553313588255785,45,47.06018518518518
rf_fold1431,9.094013809052083,1.0909401380905208,1.5344800097232103,70,46.89583333333333
rf_fold935,9.084389519536584,1.0908438951953658,1.5304421528391214,69,46.86342592592593
rf_fold696,9.078360626718851,1.0907836062671885,1.5554548437162594,13,46.90509259259259
rf_fold770,9.062367758881118,1.0906236775888112,1.5069930989247993,113,47.17824074074074
rf_fold1291,9.038761515500626,1.0903876151550063,1.5104290282872948,98,47.05800496323956
rf_fold979,9.01959832252559,1.090195983225256,1.5030406323984906,107,47.09953703703704
rf_fold827,8.966560756257413,1.0896656075625741,1.5014813545925811,95,47.02546296296296
rf_fold1154,8.96334685135165,1.0896334685135165,1.507201334106932,81,47.161774238355406
rf_fold1053,8.961656423253661,1.0896165642325366,1.5090477520236856,68,46.800925925925924
rf_fold1351,8.95893530842391,1.089589353084239,1.506118975465759,73,47.19707319332206
rf_fold721,8.945714163739037,1.0894571416373904,1.5248504313816689,31,46.976851851851855
rf_fold680,8.916726287265098,1.089167262872651,1.5300077045474738,13,46.87268518518518
rf_fold1037,8.91664225114399,1.08916642251144,1.5363971591163925,67,47.0918897019725
rf_fold1364,8.887283536615165,1.0888728353661516,1.483636317416279,99,47.270833333333336
rf_fold660,8.87433503984052,1.0887433503984052,1.4870890336612541,91,47.229166666666664
rf_fold854,8.847951127086318,1.0884795112708632,1.506471970724539,35,47.0462962962963
rf_fold695,8.811159663748258,1.0881115966374826,1.5096022810800793,13,46.869935639209146
rf_fold849,8.79514609028087,1.0879514609028087,1.4646997265544413,123,47.724587684892015
rf_fold867,8.773913079214513,1.0877391307921451,1.5014348195580338,27,46.916666666666664
rf_fold1118,8.763235783976576,1.0876323578397658,1.4773508061496698,79,47.14351851851852
rf_fold1052,8.721605751493433,1.0872160575149343,1.4745230262804738,64,46.89583333333333
rf_fold1387,8.664420554734154,1.0866442055473415,1.4417343339986268,111,47.1770823660507
rf_fold676,8.603761681301458,1.0860376168130146,1.4378038797737207,101,47.1999629440919
rf_fold623,8.50902134245468,1.0850902134245468,1.438994562831024,54,46.85416666666667
rf_fold1051,8.422644817389147,1.0842264481738915,1.4252271665784262,54,46.80555555555556
rf_fold1041,8.354458795517171,1.0835445879551717,1.421758516949769,46,46.91978238222016
rf_fold1150,8.321569203394574,1.0832156920339457,1.4286449399856385,9,46.80787037037037
rf_fold876,8.286049412295938,1.0828604941229594,1.415944160537091,25,46.90046296296296
rf_fold346,8.278833776222738,1.0827883377622274,1.421080309899981,9,46.827472858168015
rf_fold709,8.249187527690127,1.0824918752769013,1.40522903903098,41,46.97222222222222
rf_fold203,8.241496389752001,1.08241496389752,1.4138148307049196,13,46.84259259259259
rf_fold702,8.218648351402402,1.082186483514024,1.4093308486348939,17,46.87731481481482
rf_fold1103,8.208346814123857,1.0820834681412386,1.3946944805229842,43,46.979166666666664
rf_fold1432,8.207899567114696,1.082078995671147,1.4081384314143466,12,46.64700006968479
rf_fold592,8.189385177595065,1.0818938517759507,1.3703654524816107,100,47.00925925925926
rf_fold662,8.069215492127114,1.0806921549212711,1.3718737516084392,39,47.02777777777778
rf_fold506,8.053828501426107,1.080538285014261,1.3817687694327034,13,46.83304009630521
rf_fold1264,8.044930243099934,1.0804493024309993,1.353481971193186,74,46.94444444444444
rf_fold690,7.986490902157928,1.0798649090215793,1.3678088668301889,17,46.8587962962963
rf_fold1064,7.951656322872935,1.0795165632287294,1.366066106753942,10,46.56042988835873
rf_fold716,7.922813507582416,1.0792281350758242,1.3437015350787804,49,47.0162037037037
rf_fold191,7.885365726378013,1.0788536572637801,1.3526081461936914,13,46.95189896926363
rf_fold907,7.84372778378486,1.0784372778378486,1.3015910064892153,116,47.08101851851852
rf_fold1233,7.814830316525989,1.07814830316526,1.3370808615570138,26,46.479166666666664
rf_fold1071,7.807929211606135,1.0780792921160613,1.3093789113630216,81,46.90740740740741
rf_fold646,7.697407874170525,1.0769740787417053,1.3203523250436726,11,46.817129629629626
rf_fold1306,7.694489490885004,1.07694489490885,1.3198749507314953,11,46.82486398888761
rf_fold712,7.682283961888592,1.076822839618886,1.3101812627264733,41,46.99074074074074
rf_fold1219,7.6753335850859195,1.0767533358508592,1.319146940240385,10,46.518442718265966
rf_fold1165,7.633010435081977,1.0763301043508198,1.2729541397401922,110,46.99074074074074
rf_fold1255,7.56664447017672,1.0756664447017672,1.2713069612897465,80,46.8413620685664
rf_fold307,7.4998978847015785,1.0749989788470158,1.2876597721825027,8,46.424685756614736
rf_fold845,7.485527239561374,1.0748552723956137,1.262572896920871,81,47.04139272154829
rf_fold686,7.326965931971863,1.0732696593197186,1.2542456377412665,21,46.8587962962963
rf_fold497,7.264059597229,1.07264059597229,1.2460736690735437,12,46.55555555555556
rf_fold697,7.212828671469884,1.0721282867146988,1.23283401827202,25,46.89814814814815
rf_fold348,7.198912092099707,1.071989120920997,1.2352377906639822,17,47.06713448089104
rf_fold54,7.197676473676484,1.0719767647367648,1.2341592508889012,14,46.96459663377829
rf_fold796,7.184033572156645,1.0718403357215665,1.2079497623692292,87,47.03472222222223
rf_fold615,7.183498584143044,1.0718349858414304,1.2297477885024957,20,46.61574074074074
rf_fold1263,7.175446775838545,1.0717544677583855,1.2328540856395733,6,46.59225396236047
rf_fold862,7.173883809184822,1.0717388380918482,1.2178408834888979,45,47.00925925925926
rf_fold704,7.148998164443876,1.0714899816444388,1.217162573713815,45,46.9904620798222
rf_fold568,7.142454670400911,1.071424546704009,1.1813985998847956,137,47.1906470656326
rf_fold546,7.125273498679108,1.071252734986791,1.1871130205581528,114,47.20186072737525
rf_fold1008,7.1234446968520215,1.0712344469685202,1.2023557946213284,64,46.8125
rf_fold733,7.042283788391557,1.0704228378839156,1.1856781752081123,70,46.81097349230235
rf_fold1192,6.995742677231309,1.069957426772313,1.177438465633635,77,47.238922030593535
rf_fold253,6.986210561628137,1.0698621056162814,1.1971050978204556,15,46.8287037037037
rf_fold1314,6.978561480065837,1.0697856148006584,1.1611827730653226,118,47.12037037037037
rf_fold1206,6.898013082990451,1.0689801308299045,1.1849489062110843,34,46.94657411662273
